age,employment,income,location,has_medical_aid,heard_of_nmc,nmc_products_known,nmc_impression,knows_cost,why_no_medical_aid,likelihood_to_sign_up,what_would_make_sign_up,willingness_to_pay,benefits_wanted,open_text,sentiment
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Jade,Somewhat positive,I have heard figures but I am not sure,Other,1.0,Lower monthly cost;A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Hospitalisation;Optical;Maternity cover;Mental health support,Because of lack of funds and lack of understanding of the types of packages ,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Ruby,Somewhat positive,"Yes, I have a good idea",Other,,Other,I would not pay for it at all,Doctor visits;Chronic medication;Dental,It’s not affordable ,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan;A promotional offer or incentive,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Lower monthly cost ,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Emerald Plus,Very positive,I have heard figures but I am not sure,My employer does not offer it,5.0,Lower monthly cost;My employer covering part or all of the cost;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental;Optical;Mental health support;Emergency cover,"I’d say they don’t avoid it, they are just not financially stable and most companies nowadays do not offer medical aid, that’s why. ",Positive
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,No,,,"Yes, I have a good idea",,,Lower monthly cost,,Doctor visits,Most of them can not afford ,Positive
31-35,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",Too expensive;I do not fully understand how it works,1.0,Lower monthly cost;A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Dental;Mental health support;Emergency cover,Because their don’t have enough income to have it,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,I have heard figures but I am not sure,,,,,Hospitalisation;Chronic medication;Mental health support,Affordability bring the main issue and understanding of the importance of having the medical aid,Positive
25-30,Student,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,,"No, I have no idea",Too expensive,1.0,Lower monthly cost;A better understanding of the benefits,Under N$500,Doctor visits;Dental;Optical;Mental health support;Emergency cover,The expense nature of it,Neutral
25-30,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,None of the above,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,"1. Cost of Medical Aid: Not all young Namibians are able to afford medical aid and some private companies don’t offer medical aid as a benefit especially to low earning employees. 
2. Awareness: Some young Namibians lack awareness to medical aid care. They are not even aware that this a benefit they qualify for. There is a stigma that labels medical aid as expensive (which is) that young Namibians don’t even take it upon themselves to educate themselves on different medical aid options.",Positive
25-30,Employed full-time,"Above N$20,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",Too expensive,1.0,Lower monthly cost,"N$1,000 - N$2,000",Hospitalisation;Dental;Optical;Mental health support,Way too expensive,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Dental;Optical,They avoid medical aid because they cannot afford it.,Neutral
25-30,Student,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat negative,"Yes, I have a good idea",,,,,Doctor visits;Dental;Optical,We pay so much monthly premiums and we still end up topping up on the benefits..,Positive
25-30,Employed full-time,Prefer not to say,Other urban area,Yes,No,,Somewhat positive,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Emergency cover,Because they can’t afford ,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Dental;Emergency cover,Simply because it’s expensive ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,No,No,,,I have heard figures but I am not sure,Other,5.0,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Emergency cover,They are mostly not offered one at work or it’s too late expensive for them.,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,None of the above,,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Dental;Maternity cover,Expensive ,Negative
31-35,Employed full-time,"Under N$5,000",Khomas Region,No,Yes,Topaz Plus,Neutral,"No, I have no idea",I am young and healthy - I do not need it yet,1.0,Lower monthly cost,Under N$500,Dental;Maternity cover,Financial issues ,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,"Above N$2,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Emergency cover,It is simply expensive. ,Negative
25-30,Self-employed,"N$5,000 - N$10,000",Other urban area,No,Yes,None of the above,,"Yes, I have a good idea",Too expensive,2.0,Lower monthly cost;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Dental;Mental health support,It's  too Expensive ,Negative
25-30,Employed part-time,"N$10,000 - N$25,000",Other urban area,No,No,,,"No, I have no idea",I do not fully understand how it works;My employer does not offer it;I have never thought about it,3.0,A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"Just because we don’t really look deep into it, and we are racking information on medical aid. Also because most of us grow up just using state hospitals.",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz Plus,Neutral,"Yes, I have a good idea",,,,,Optical,I think Namibians avoid medical aid because they think its too expensive. Our health care system also makes it that you wouldn't necessarily need medical aid. Medical aid is mostly for convenience. ,Neutral
25-30,Employed part-time,"N$5,000 - N$10,000",Other urban area,No,No,,,I have heard figures but I am not sure,Too expensive,1.0,Lower monthly cost,Under N$500,Hospitalisation,Too expensive and high employment rate,Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Amber;Jade;Ruby,Neutral,"Yes, I have a good idea",,,,,Hospitalisation;Optical;Maternity cover;Emergency cover,Because the monthly payment is expensive ,Negative
25-30,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover,Expensive ,Negative
25-30,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,None of the above,Neutral,"No, I have no idea",,,,,Doctor visits,To avoid paying ,Neutral
31-35,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Emerald,Neutral,"Yes, I have a good idea",Too expensive,1.0,Lower monthly cost;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"Medical aid is costly, take me for example if I get Medical aid thats more then a quarter of my salary. What will I then survive on if cost of living is already so high? ",Positive
18-24,Employed part-time,Prefer not to say,Khomas Region,No,Yes,Topaz Plus,Neutral,I have heard figures but I am not sure,Other,5.0,A promotional offer or incentive,"N$1,000 - N$2,000",Doctor visits;Optical;Emergency cover,Because it’s not tailored to their needs. ,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz Plus,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,It’s too expensive. ,Negative
18-24,Student,Prefer not to say,Khomas Region,No,Maybe,,,"No, I have no idea",I do not fully understand how it works,1.0,Lower monthly cost,Under N$500,Hospitalisation;Dental;Emergency cover,Due to fact that it can be costly sometimes and young namibias don’t fully understand how it works,Negative
18-24,Student,"Under N$5,000",Khomas Region,No,Yes,Opal,Very positive,I have heard figures but I am not sure,Too expensive,3.0,Lower monthly cost,"N$500 - N$1,000",Hospitalisation;Emergency cover,Because it’s not affordable.,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Optical,They think it’s costly.,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Maybe,,,"Yes, I have a good idea",,,,,Doctor visits;Dental,They avoid due to high costs of medical aid. Affordability is an issue.,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",Other,5.0,More flexible or customisable plan,"N$1,000 - N$2,000",Doctor visits;Dental;Optical;Emergency cover,Due to financial burdens ,Negative
18-24,Employed part-time,"Under N$5,000",Other urban area,Yes,No,None of the above,I have never heard of them,"No, I have no idea",Too expensive,1.0,Other,Under N$500,Hospitalisation,Expensive ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber,Somewhat positive,"Yes, I have a good idea",Too expensive;My employer does not offer it,3.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Doctor visits;Hospitalisation;Dental;Optical;Mental health support;Emergency cover,"I do not think young Namibians avoid medical aid, it’s more a luxury than anything and most people just can’t afford. Not to mention the lowest packages that most can afford actually don’t cover much at all and people end up spending from their own pockets. It’s just not affordable for the common man. ",Positive
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Mental health support;Emergency cover,It’s too expensive especially for individuals whose employers don’t offer medical aid. They are forced to open up their individual medical aids and the monthly cost is way too high. ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Emerald;Amber;Jade,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,It’s expensive ,Negative
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,2.0,A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Optical;Emergency cover,"Because they have less knowledge about medical aid and they think it is too costly. Also, most young people have the mentality of ""I am still young and healthy, I do not need medical aid.""",Positive
Prefer not to say,Employed full-time,"Under N$5,000",Khomas Region,Yes,Yes,Jade,Very positive,"Yes, I have a good idea",,,,,Emergency cover,Because they are too expensive ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,Yes,None of the above,I have never heard of them,"Yes, I have a good idea",Other,,,,Doctor visits;Maternity cover;Mental health support,The costs are high ,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,,,"Yes, I have a good idea",,,,,Chronic medication;Dental;Optical;Mental health support;Emergency cover,"I have ever only worked for companies that makes it compulsory to contribute to medical aid. And if I had a choice, I would only opt for a hospital plan or no medical aid at all",Neutral
25-30,Employed full-time,Prefer not to say,Khomas Region,No,Yes,Topaz;Topaz Plus;Opal;Ruby,Neutral,"Yes, I have a good idea",Too expensive;My employer does not offer it,1.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,"N$500 - N$1,000",Hospitalisation;Optical;Emergency cover,"From the research I have done while attempting to get a medical aid, I believe it is avoided due to the cost and the benefits associated to the lower rated options. This benefits are close to nothing and doesn't make any actual difference except for private Dr consultations, things like hospitalization, limited medication budget at pharmacies, limited to only certain medical conditions and excludes things like optics, dental care, etc.",Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,"Because its too expensive, especially if the work for a private company that doesnot cover all the costs.",Negative
